mm_policy,qa_function,explore_policy,pretrain_semantic,long_capacity,semantic_decay_factor,test_mean,test_std
episodic,latest,avoid_walls,False,2,0.8,1000.0,0.0
episodic,latest,avoid_walls,False,2,0.9,1000.0,0.0
episodic,latest,avoid_walls,False,2,0.99,1000.0,0.0
episodic,latest,random,False,2,0.8,1000.0,0.0
episodic,latest,random,False,2,0.9,1000.0,0.0
episodic,latest,random,False,2,0.99,1000.0,0.0
handcrafted,latest,avoid_walls,False,2,0.8,1000.0,0.0
handcrafted,latest,avoid_walls,False,2,0.9,1000.0,0.0
handcrafted,latest,avoid_walls,False,2,0.99,1000.0,0.0
handcrafted,latest,avoid_walls,exclude_walls,2,0.8,1000.0,0.0
handcrafted,latest,avoid_walls,exclude_walls,2,0.9,1000.0,0.0
handcrafted,latest,avoid_walls,exclude_walls,2,0.99,1000.0,0.0
handcrafted,latest,avoid_walls,include_walls,2,0.8,1000.0,0.0
handcrafted,latest,avoid_walls,include_walls,2,0.9,1000.0,0.0
handcrafted,latest,avoid_walls,include_walls,2,0.99,1000.0,0.0
handcrafted,latest,random,False,2,0.8,1000.0,0.0
handcrafted,latest,random,False,2,0.9,1000.0,0.0
handcrafted,latest,random,False,2,0.99,1000.0,0.0
handcrafted,latest,random,exclude_walls,2,0.8,1000.0,0.0
handcrafted,latest,random,exclude_walls,2,0.9,1000.0,0.0
handcrafted,latest,random,exclude_walls,2,0.99,1000.0,0.0
handcrafted,latest,random,include_walls,2,0.8,1000.0,0.0
handcrafted,latest,random,include_walls,2,0.9,1000.0,0.0
handcrafted,latest,random,include_walls,2,0.99,1000.0,0.0
handcrafted,latest_strongest,avoid_walls,False,2,0.8,1000.0,0.0
handcrafted,latest_strongest,avoid_walls,False,2,0.9,1000.0,0.0
handcrafted,latest_strongest,avoid_walls,False,2,0.99,1000.0,0.0
handcrafted,latest_strongest,avoid_walls,exclude_walls,2,0.8,1000.0,0.0
handcrafted,latest_strongest,avoid_walls,exclude_walls,2,0.9,1000.0,0.0
handcrafted,latest_strongest,avoid_walls,exclude_walls,2,0.99,1000.0,0.0
handcrafted,latest_strongest,avoid_walls,include_walls,2,0.8,1000.0,0.0
handcrafted,latest_strongest,avoid_walls,include_walls,2,0.9,1000.0,0.0
handcrafted,latest_strongest,avoid_walls,include_walls,2,0.99,1000.0,0.0
handcrafted,latest_strongest,random,False,2,0.8,1000.0,0.0
handcrafted,latest_strongest,random,False,2,0.9,1000.0,0.0
handcrafted,latest_strongest,random,False,2,0.99,1000.0,0.0
handcrafted,latest_strongest,random,exclude_walls,2,0.8,1000.0,0.0
handcrafted,latest_strongest,random,exclude_walls,2,0.9,1000.0,0.0
handcrafted,latest_strongest,random,exclude_walls,2,0.99,1000.0,0.0
handcrafted,latest_strongest,random,include_walls,2,0.8,1000.0,0.0
handcrafted,latest_strongest,random,include_walls,2,0.9,1000.0,0.0
handcrafted,latest_strongest,random,include_walls,2,0.99,1000.0,0.0
handcrafted,random,avoid_walls,False,2,0.8,1000.0,0.0
handcrafted,random,avoid_walls,False,2,0.9,1000.0,0.0
handcrafted,random,avoid_walls,False,2,0.99,1000.0,0.0
handcrafted,random,avoid_walls,exclude_walls,2,0.8,1000.0,0.0
handcrafted,random,avoid_walls,exclude_walls,2,0.9,1000.0,0.0
handcrafted,random,avoid_walls,exclude_walls,2,0.99,1000.0,0.0
